,id,sponsor,event,venue,place,date,location,page_count,dish_count
9623,27093,San Francisco Overland Limited,dinner,RAILROAD,San Francisco Overland Limited,1/1/1920,San Francisco Overland Limited,4,121
9624,27094,Southern Pacific,dinner,RAILROAD,Southern Pacific,9/20/1941,Southern Pacific,4,15
9625,27095,Associated General Contractors of America,dinner,HOTEL,Palace Hotel,12/15/1934,Associated General Contractors Of America,3,15
9627,27097,Richmond Fredericksburg and Potomac Railroad,daily menu,RAILROAD,"Dining Car, Richmond Fredericksburg and Potomac Railroad",1/1/1943,Richmond Fredericksburg And Potomac Railroad,4,69
9630,27100,Southern Pacific,lunch,RAILROAD,"Dining Car, Southern Pacific",1/1/1940,Southern Pacific,4,120
9631,27101,Southern Pacific,dinner,RAILROAD,"Coaster, Southern Pacific",1/1/1941,Southern Pacific,4,120
9637,27107,Southern Pacific,dinner,RAILROAD,Southern Pacific,9/20/1941,Southern Pacific,4,16
9638,27108,The San Francisco Stock Exchange,dinner,HOTEL,Hotel St. Francis,2/3/1934,The San Francisco Stock Exchange,2,9
9639,27109,National Parlor No. 118,dinner,HOTEL,Fairmont Hotel,9/8/1910,National Parlor No. 118,2,17
9640,27110,Hotel Del Monte,dinner,HOTEL,Hotel Del Monte,1880-09-15,Hotel Del Monte,2,24
9642,27112,Southern Pacific,breakfast,RAILROAD,"Dining Car, Southern Pacific",1/1/1940,Southern Pacific,4,120
9643,27113,Southern Pacific,lunch,RAILROAD,"Dining Car, Southern Pacific",1/1/1942,Southern Pacific,4,101
9647,27117,Tao Yuan Restaurant,daily menu,RESTAURANT,Tao Yuan Restaurant,1/1/1939,Tao Yuan Restaurant,19,305
9653,27123,Yee Hop's,daily menu,RESTAURANT,Yee Hop's,1/1/1937,Yee Hop's,1,25
9654,27124,Little China,daily menu,RESTAURANT,Little China,1/1/1938,Little China,6,291
9657,27128,Southern Pacific,lunch,RAILROAD,"The Beaver, Southern Pacific",11/1/1941,Southern Pacific,4,117
9659,27130,Southern Pacific,breakfast,RAILROAD,"The Beaver, Southern Pacific",11/1/1941,Southern Pacific,4,92
9660,27131,Southern Pacific,dinner,RAILROAD,"Dining Car, Southern Pacific",7/1/1941,Southern Pacific,4,124
9661,27132,Southern Pacific,dinner,RAILROAD,"Dining Car, Southern Pacific",10/1/1943,Southern Pacific,4,42
9662,27133,Southern Pacific,dinner,RAILROAD,"The San Francisco Challenger, Southern Pacific",7/1/1942,Southern Pacific,4,114
9663,27134,Southern Pacific,breakfast,RAILROAD,"The Beaver, Southern Pacific",7/1/1941,Southern Pacific,4,113
9665,27136,Southern Pacific,breakfast,RAILROAD,"The Beaver, Southern Pacific",11/1/1941,Southern Pacific,4,127
9670,27142,Boston & Albany Railroad,daily menu,RAILROAD,"Dining Car, Boston & Albany Railroad",1/1/1939,Boston & Albany Railroad,1,116
9671,27143,New York Central System,dinner,RAILROAD,"Dining Car, New York Central System",10/23/1940,New York Central System,1,16
9672,27144,The Milwaukee Road,breakfast,RAILROAD,"Dining Car, The Milwaukee Road",1/1/1938,The Milwaukee Road,4,172
9676,27148,Fred Harvey,breakfast,RESTAURANT,Union Station,6/15/1938,Fred Harvey,4,157
9687,27159,"Chicagoan, Kansas Cityan",lunch,RAILROAD,"Dining Car, Fred Harvey",11/16/1941,"Chicagoan, Kansas Cityan",5,100
9691,27163,Western Pacific,breakfast,RAILROAD,The Feather River Route,4/13/1938,Western Pacific,4,78
9723,27195,San Francisco Overland Limited,lunch,RAILROAD,"Diner Car 374, San Francisco Overland Limited",4/13/1939,San Francisco Overland Limited,4,103
9724,27196,San Francisco Overland Limited,lunch,RAILROAD,"Diner Car 372, San Francisco Overland Limited",1/1/1939,San Francisco Overland Limited,5,90
9725,27197,Southern Pacific,breakfast,RAILROAD,Southern Pacific,9/20/1941,Southern Pacific,4,16
9726,27198,Southern Pacific,breakfast,RAILROAD,Southern Pacific,9/20/1941,Southern Pacific,4,16
9727,27199,Southern Pacific,lunch,RAILROAD,Southern Pacific,1/1/1938,Southern Pacific,4,121
9728,27200,Southern Pacific,dinner,RAILROAD,Southern Pacific,1/1/1939,Southern Pacific,4,100
9729,27201,Southern Pacific,lunch,RAILROAD,Southern Pacific,1/1/1937,Southern Pacific,3,70
9730,27202,Southern Pacific,wine list,RAILROAD,Southern Pacific,1/1/1938,Southern Pacific,4,45
9733,27205,Harvard Club of San Francisco,dinner ,HOTEL,Palace Hotel,1880-10-21,Harvard Club Of San Francisco,3,28
9734,27206,The Musicians Club of San Francisco,dinner,RESTAURANT,Martinelli's,1897-02-26,The Musicians Club Of San Francisco,1,14
9736,27208,International Geneva Association,midnight supper,HOTEL,Hotel St. Francis,4/20/1931,International Geneva Association,11,14
9737,27209,American Chemical Society,dinner,HOTEL,Waldorf-Astoria,4/24/1935,American Chemical Society,5,16
9738,27210,The Pacific Coast Society of Orthodontists,dinner,HOTEL,Palace Hotel,2/15/1935,The Pacific Coast Society Of Orthodontists,4,11
9739,27211,Alumni Association of the College of Physicians and Surgeons of San Francisco,dinner,HOTEL,Palace Hotel,7/17/1951,Alumni Association Of The College Of Physicians And Surgeons Of San Francisco,6,12
9740,27212,Wester Retail Lumbermen's Association,dinner,"OTHER,Club",San Francisco Commerical Club,2/19/1915,Wester Retail Lumbermen's Association,8,14
9741,27213,Hotel Del Monte,dinner,HOTEL,Hotel Del Monte,1880-09-15,Hotel Del Monte,2,24
9742,27214,The San Francisco Cabinet National Union,dinner,"OTHER,Club",The San Francisco Commercial Club,10/18/1915,The San Francisco Cabinet National Union,3,17
9746,27218,Forbidden City,daily menu,RESTAURANT,Forbidden City,1/1/1943,Forbidden City,4,240
9751,27223,San Francisco Commercial Club,lunch,"OTHER,Club",San Francisco Commercial Club,11/23/1915,San Francisco Commercial Club,2,15
9756,27228,Hotel Del Monte,dinner,HOTEL,Hotel Del Monte,7/4/2012,Hotel Del Monte,5,51
9758,27230,Union Pacific Railroad,lunch,RAILROAD,"Dining car, Union Pacific Railroad",5/11/1939,Union Pacific Railroad,3,114
9760,27232,Southern Pacific,lunch,RAILROAD,Southern Pacific,9/20/1941,Southern Pacific,4,14
9761,27233,San Francisco Overland Limited,lunch,RAILROAD,San Francisco Overland Limited,1/1/1937,San Francisco Overland Limited,3,90
9763,27235,The Citizens of San Francisco,dinner,HOTEL,Palace Hotel,10/23/1917,The Citizens Of San Francisco,8,17
9764,27236,Pan American Society,dinner,"OTHER,Club",Bohemian Club,6/30/1939,Pan American Society,3,14
9770,27242,Italian Line,brunch,"HOTEL,RESTAURANT",Park Lane,4/14/1963,Italian Line,4,34
9772,27244,Statler Hilton,dinner,"HOTEL,RESTAURANT",Stalter Hilton; Hotel Statler,3/1/1962,Statler Hilton,3,120
9773,27245,The Waldorf-Astoria,dinner,HOTEL,The Waldorf-Astoria,11/24/1959,The Waldorf Astoria,3,186
9776,27248,Park Lane,brunch,RESTAURANT,Park Lane; 299 Park Avenue,1/3/1960,Park Lane,3,46
9777,27249,The Waldorf-Astoria,dinner,HOTEL,The Waldorf-Astora,9/29/1969,The Waldorf Astoria,3,180
9778,27250,The Westbury,dinner,RESTAURANT,The Westbury; Madison Avenue and 69th Street,12/25/1961,The Westbury,2,38
9780,27252,Park Lane,dinner,RESTAURANT,Park Lane,4/2/1961,Park Lane,4,30
